family,zones,zone_size,obligation_pressure,seed,objects,nodes,method,success,cost,expansions,pruned_commitments,frontier_peak,gate_crossings,reason
zone_scaling,4,small,1,0,5,26,greedy_local,0.5028077240512779,8.20611551892533,113.16510704669176,0.0,0.0,3,partial_success
zone_scaling,4,small,1,0,5,26,relaxed_agenda,0.08057873796888025,1.4060989775569603,210.20444721675332,0.0,0.0,3,relaxed_reverse_failure
zone_scaling,4,small,1,0,5,26,exact_lifted_astar,1.0,17.45,1417.345020277878,0.0,311.81590446113313,3,success
zone_scaling,4,small,1,0,5,26,scp_cut_obligations,1.0,17.45,70.79420710442204,2.6204031715510823,12.742957278795966,3,success
zone_scaling,4,small,1,0,5,26,scp_no_heuristic,1.0,17.45,94.36142273487663,2.6204031715510823,22.64674145637039,3,success
zone_scaling,4,small,1,0,5,26,deadend_aware_astar,1.0,17.45,121.95496402467414,1.5198338394996276,32.92784028666202,3,success
zone_scaling,4,small,1,1,5,27,greedy_local,0.5197305527590359,8.856302630522787,128.51658289777043,0.0,0.0,3,partial_success
zone_scaling,4,small,1,1,5,27,relaxed_agenda,0.1193622271735548,2.0888389755372088,212.5095696830766,0.0,0.0,3,relaxed_reverse_failure
zone_scaling,4,small,1,1,5,27,exact_lifted_astar,1.0,17.5,1512.5476876611535,0.0,332.7604912854538,3,success
zone_scaling,4,small,1,1,5,27,scp_cut_obligations,1.0,17.5,66.8396474801004,2.618323606026788,12.031136546418072,3,success
zone_scaling,4,small,1,1,5,27,scp_no_heuristic,1.0,17.5,90.38775447561537,2.618323606026788,21.693061074147685,3,success
zone_scaling,4,small,1,1,5,27,deadend_aware_astar,1.0,17.5,127.19534493154941,1.518627691495537,34.34274313151835,3,success
zone_scaling,4,small,1,2,5,26,greedy_local,0.53010643819942,9.06846393746105,118.72833317119152,0.0,0.0,3,partial_success
zone_scaling,4,small,1,2,5,26,relaxed_agenda,0.112322722625367,1.960031509812654,201.72707316956507,0.0,0.0,3,relaxed_reverse_failure
zone_scaling,4,small,1,2,5,26,exact_lifted_astar,1.0,17.45,1406.5988092583905,0.0,309.4517380368459,3,success
zone_scaling,4,small,1,2,5,26,scp_cut_obligations,1.0,17.45,75.12969045036152,3.050784749960962,13.523344281065073,3,success
zone_scaling,4,small,1,2,5,26,scp_no_heuristic,1.0,17.45,93.08411639326094,3.050784749960962,22.340187934382627,3,success
zone_scaling,4,small,1,2,5,26,deadend_aware_astar,1.0,17.45,133.16365083852463,1.7694551549773578,35.954185726401654,3,success
zone_scaling,4,small,1,3,4,28,greedy_local,0.4703033795793896,7.942173968523168,126.1074425191564,0.0,0.0,3,missed_commitment
zone_scaling,4,small,1,3,4,28,relaxed_agenda,0.10888347025908401,1.7856889122489776,232.90225309652976,0.0,0.0,3,relaxed_reverse_failure
zone_scaling,4,small,1,3,4,28,exact_lifted_astar,1.0,16.4,1234.8505540291956,0.0,271.66712188642305,3,success
zone_scaling,4,small,1,3,4,28,scp_cut_obligations,1.0,16.4,63.396510315546664,2.2739501309236507,11.411371856798398,3,success
zone_scaling,4,small,1,3,4,28,scp_no_heuristic,1.0,16.4,85.50519402121576,2.2739501309236507,20.521246565091783,3,success
zone_scaling,4,small,1,3,4,28,deadend_aware_astar,1.0,16.4,113.94387736279128,1.3188910759357173,30.76484688795365,3,success
zone_scaling,4,small,1,4,5,30,greedy_local,0.471205109729919,8.089505824607123,126.62061490369322,0.0,0.0,3,missed_commitment
zone_scaling,4,small,1,4,5,30,relaxed_agenda,0.10558770457717076,1.8636229857870639,232.70403940412498,0.0,0.0,3,relaxed_reverse_failure
zone_scaling,4,small,1,4,5,30,exact_lifted_astar,1.0,17.65,1677.5533024564454,0.0,369.06172654041796,3,success
zone_scaling,4,small,1,4,5,30,scp_cut_obligations,1.0,17.65,72.98604971003714,2.520121435454027,13.137488947806684,3,success
zone_scaling,4,small,1,4,5,30,scp_no_heuristic,1.0,17.65,92.35357095363375,2.520121435454027,22.1648570288721,3,success
zone_scaling,4,small,1,4,5,30,deadend_aware_astar,1.0,17.65,123.05947166930123,1.4616704325633356,33.226057350711336,3,success
zone_scaling,4,small,1,5,4,27,greedy_local,0.5152079309796651,8.453513037049067,115.27877119817722,0.0,0.0,3,partial_success
zone_scaling,4,small,1,5,4,27,relaxed_agenda,0.09013567495341607,1.4737182854883528,206.54101524168055,0.0,0.0,3,relaxed_reverse_failure
zone_scaling,4,small,1,5,4,27,exact_lifted_astar,1.0,16.35,1301.073922052447,0.0,286.23626285153836,3,success
zone_scaling,4,small,1,5,4,27,scp_cut_obligations,1.0,16.35,70.01788057022456,3.1139788333470504,12.60321850264042,3,success
zone_scaling,4,small,1,5,4,27,scp_no_heuristic,1.0,16.35,82.41971445985286,3.1139788333470504,19.780731470364685,3,success
zone_scaling,4,small,1,5,4,27,deadend_aware_astar,1.0,16.35,114.45264459932828,1.806107723341289,30.902214041818638,3,success
zone_scaling,4,small,1,6,4,26,greedy_local,0.5038378016227641,8.049674423024351,108.80155597891508,0.0,0.0,3,partial_success
zone_scaling,4,small,1,6,4,26,relaxed_agenda,0.0916503839653038,1.493901258634452,195.65829749211855,0.0,0.0,3,relaxed_reverse_failure
zone_scaling,4,small,1,6,4,26,exact_lifted_astar,1.0,16.3,1220.641588596064,0.0,268.54114949113404,3,success
zone_scaling,4,small,1,6,4,26,scp_cut_obligations,1.0,16.3,66.12405051954411,2.4344197976182294,11.90232909351794,3,success
